Ticker	Fund Name	Issuer	Segment	Analyst Pick	Grade	E	T	F	Ticker	Fund Name	Asset Class	Region	Geography	Category	Focus	Niche	Inverse	Leveraged	ETN	Underlying Index	Selection Criteria	Weighting Scheme	Active per SEC	Ticker	Fund name	Dividend yield	P/E	P/B	Duration		Credit quality	YTM		Ticker	Fund name	Issuer	Expense ratio %	AUM	Spread	Segment	Ticker	Fund Name	Legal Structure	MAX LT Capital Gains Rate	Max ST Capital Gains Rate	Tax Reporting
AADR	AdvisorShares Dorsey Wright ADR ETF	AdvisorShares	Equity: Global Ex-U.S. - Total Market Growth		F	61	36	25	AADR	AdvisorShares Dorsey Wright ADR ETF	Equity	Global Ex-U.S.	Global Ex-U.S.	Size and Style	Total Market	Growth	No	No	No	--	Depository Receipts	Proprietary	Yes	AADR	AdvisorShares Dorsey Wright ADR ETF	0.54%	40.70	2.02		--	--    	--		AADR	AdvisorShares Dorsey Wright ADR ETF	AdvisorShares	1.27%	$20.29M	0.64%	Equity: Global Ex-U.S. - Total Market Growth	AADR	AdvisorShares Dorsey Wright ADR ETF	Open-Ended Fund	20.00	39.60	1099
AAXJ	iShares MSCI All Country Asia ex Japan ETF	BlackRock	Equity: Asia-Pacific Ex-Japan - Total Market		B	84	85	91	AAXJ	iShares MSCI All Country Asia ex Japan ETF	Equity	Asia-Pacific	Asia-Pacific Ex-Japan	Size and Style	Total Market	Broad-based	No	No	No	MSCI All Country Asia ex Japan Index	Market Cap	Market Cap	No	AAXJ	iShares MSCI All Country Asia ex Japan ETF	1.69%	14.31	1.47		--	--    	--		AAXJ	iShares MSCI All Country Asia ex Japan ETF	BlackRock	0.72%	$2.61B	0.02%	Equity: Asia-Pacific Ex-Japan - Total Market	AAXJ	iShares MSCI All Country Asia ex Japan ETF	Open-Ended Fund	20.00	39.60	1099
ACIM	SPDR MSCI ACWI IMI ETF	State Street Global Advisors	Equity: Global - Total Market		C	82	41	95	ACIM	SPDR MSCI ACWI IMI ETF	Equity	Global	Global	Size and Style	Total Market	Broad-based	No	No	No	MSCI ACWI IMI Index	Market Cap	Market Cap	No	ACIM	SPDR MSCI ACWI IMI ETF	1.86%	22.81	2.02		--	--    	--		ACIM	SPDR MSCI ACWI IMI ETF	State Street Global Advisors	0.25%	$85.83M	1.97%	Equity: Global - Total Market	ACIM	SPDR MSCI ACWI IMI ETF	Open-Ended Fund	20.00	39.60	1099
ACTX	Global X Guru Activist Index ETF	Global X	Equity: U.S. - Total Market		D	72	53	67	ACTX	Global X Guru Activist Index ETF	Equity	North America	U.S.	Size and Style	Total Market	Broad-based	No	No	No	Solactive Guru Activist Index	Committee	Equal	No	ACTX	Global X Guru Activist Index ETF	0.82%	-96.34	2.56		--	--    	--		ACTX	Global X Guru Activist Index ETF	Global X	0.75%	$1.44M	0.49%	Equity: U.S. - Total Market	ACTX	Global X Guru Activist Index ETF	Open-Ended Fund	20.00	39.60	1099
ACWF	iShares Edge MSCI Multifactor Global ETF	BlackRock	Equity: Global - Total Market		D	81	31	79	ACWF	iShares Edge MSCI Multifactor Global ETF	Equity	Global	Global	Size and Style	Total Market	Broad-based	No	No	No	MSCI ACWI Diversified Multiple-Factor Index	Multi-Factor	Multi-Factor	No	ACWF	iShares Edge MSCI Multifactor Global ETF	1.93%	14.65	1.88		--	--    	--		ACWF	iShares Edge MSCI Multifactor Global ETF	BlackRock	0.35%	$4.86M	1.39%	Equity: Global - Total Market	ACWF	iShares Edge MSCI Multifactor Global ETF	Open-Ended Fund	20.00	39.60	1099
ACWI	iShares MSCI ACWI ETF	BlackRock	Equity: Global - Total Market		A	93	95	96	ACWI	iShares MSCI ACWI ETF	Equity	Global	Global	Size and Style	Total Market	Broad-based	No	No	No	MSCI All Country World Index	Market Cap	Market Cap	No	ACWI	iShares MSCI ACWI ETF	2.15%	22.68	2.10		--	--    	--		ACWI	iShares MSCI ACWI ETF	BlackRock	0.33%	$6.06B	0.02%	Equity: Global - Total Market	ACWI	iShares MSCI ACWI ETF	Open-Ended Fund	20.00	39.60	1099
ACWV	iShares Edge MSCI Min Vol Global ETF	BlackRock	Equity: Global - Total Market		A	94	93	58	ACWV	iShares Edge MSCI Min Vol Global ETF	Equity	Global	Global	Size and Style	Total Market	Broad-based	No	No	No	MSCI All Country World Minimum Volatility Index	Multi-Factor	Multi-Factor	No	ACWV	iShares Edge MSCI Min Vol Global ETF	2.54%	21.29	2.56		--	--    	--		ACWV	iShares Edge MSCI Min Vol Global ETF	BlackRock	0.20%	$3.14B	0.06%	Equity: Global - Total Market	ACWV	iShares Edge MSCI Min Vol Global ETF	Open-Ended Fund	20.00	39.60	1099
ACWX	iShares MSCI ACWI ex U.S. ETF	BlackRock	Equity: Global Ex-U.S. - Total Market		A	93	89	96	ACWX	iShares MSCI ACWI ex U.S. ETF	Equity	Global Ex-U.S.	Global Ex-U.S.	Size and Style	Total Market	Broad-based	No	No	No	MSCI All Country World Index ex USA Index	Market Cap	Market Cap	No	ACWX	iShares MSCI ACWI ex U.S. ETF	2.72%	20.71	1.60		--	--    	--		ACWX	iShares MSCI ACWI ex U.S. ETF	BlackRock	0.33%	$2.30B	0.03%	Equity: Global Ex-U.S. - Total Market	ACWX	iShares MSCI ACWI ex U.S. ETF	Open-Ended Fund	20.00	39.60	1099
ADRA	BLDRS Asia 50 ADR Index Fund	Invesco PowerShares	Equity: Asia-Pacific - Large Cap		C	87	54	29	ADRA	BLDRS Asia 50 ADR Index Fund	Equity	Asia-Pacific	Asia-Pacific	Size and Style	Large Cap	Broad-based	No	No	No	BNY Mellon Asia 50 ADR Index	Depository Receipts	Market Cap	No	ADRA	BLDRS Asia 50 ADR Index Fund	1.95%	16.57	1.30		--	--    	--		ADRA	BLDRS Asia 50 ADR Index Fund	Invesco PowerShares	0.30%	$19.99M	0.29%	Equity: Asia-Pacific - Large Cap	ADRA	BLDRS Asia 50 ADR Index Fund	Unit Investment Trust	20.00	39.60	1099
ADRD	BLDRS Developed Markets 100 ADR Index Fund	Invesco PowerShares	Equity: Developed Markets Ex-U.S. - Large Cap		B	92	63	48	ADRD	BLDRS Developed Markets 100 ADR Index Fund	Equity	Developed Markets	Developed Markets Ex-U.S.	Size and Style	Large Cap	Broad-based	No	No	No	BNY Mellon Developed Markets 100 ADR Index	Depository Receipts	Market Cap	No	ADRD	BLDRS Developed Markets 100 ADR Index Fund	3.55%	29.24	1.41		--	--    	--		ADRD	BLDRS Developed Markets 100 ADR Index Fund	Invesco PowerShares	0.30%	$58.02M	0.29%	Equity: Developed Markets Ex-U.S. - Large Cap	ADRD	BLDRS Developed Markets 100 ADR Index Fund	Unit Investment Trust	20.00	39.60	1099
